Date, Weekday, proposedLT, actualLT
2023-02-16,Thursday,11:40,NA
2023-02-17,Friday,11:30,11:36
2023-02-21,Tuesday,11:43,11:49
2023-02-22,Wednesday,11:50,11:54
2023-02-23,Thursday,11:58,12:03
2023-02-24,Friday,11:32,11:36
2023-02-27,Monday,11:49,11:56
2023-02-28,Tuesday,Groupmeeting,NA
2023-03-01,Wednesday,11:36,NA
2023-03-03,Friday,11:32,11:45
2023-03-04,Saturday,Weekend,NA
2023-03-05,Sunday,Weekend,NA
2023-03-06,Monday,11:47,12:22
2023-03-07,Tuesday,11:59,11:59
2023-03-08,Wednesday,11:49,12:26
2023-03-09,Thursday,11:49,11:54
2023-03-10,Friday,11:47,11:53
2023-03-13,Monday,11:58,12:01
2023-03-14,Tuesday,GroupMeeting,NA
2023-03-15,Wednesday,11:48,11:52
2023-03-16,Thursday,11:52,12:01
2023-03-17,Friday,11:54,11:59
2023-03-18,Saturday,Weekend,NA
2023-03-19,Sunday,Weekend,NA
2023-03-20,Monday,11:54,11:58
2023-03-21,Tuesday,11:54,11:59
2023-03-22,Wednesday,11:52,11:55
2023-03-23,Thursday,11:46,11:50
2023-03-24,Friday,11:52,NA
2023-03-25,Saturday,Weekend,NA
2023-03-26,Sunday,Weekend,NA
2023-03-27,Monday,11:57,12:03
2023-03-28,Tuesday,11:51,NA
2023-03-29,Wednesday,11:52,12:34
2023-03-30,Thursday,11:58,12:04
2023-03-31,Friday,11:49,NA
2023-04-02,Sunday,Weekend,NA
2023-04-03,Monday,11:51,NA
2023-04-04,Tuesday,11:50,NA
2023-04-05,Wednesday,11:58,NA
2023-04-06,Thursday,11:53,NA
2023-04-10,Monday,11:53,18:18
2023-04-11,Tuesday,GroupMeeting,NA
2023-04-12,Wednesday,11:52,15:40
2023-04-20,Thursday,11:59,NA
2023-04-30,Sunday,Weekend,NA
2023-05-08,Monday,11:50,21:26
2023-05-10,Wednesday,11:52,NA
2023-07-11,Tuesday,11:46,NA
2023-07-12,Wednesday,11:58,NA
2023-07-13,Thursday,11:51,NA
2023-07-17,Monday,11:48,NA
2023-07-20,Thursday,11:59,NA
2023-07-21,Friday,11:53,NA
2023-07-24,Monday,11:59,NA
2023-08-01,Tuesday,11:53,NA
2023-08-21,Monday,11:56,NA
2023-09-22,Friday,11:46,NA
2023-09-25,Monday,11:53,NA
2023-10-04,Wednesday,11:47,NA
2023-10-05,Thursday,11:58,NA
2023-10-09,Monday,11:54,NA
2023-10-22,Sunday,Weekend,NA
2023-10-27,Friday,11:48,NA
2023-11-18,Saturday,Weekend,NA
2023-12-08,Friday,12:00,NA
2023-12-12,Tuesday,11:58,NA
2023-12-22,Friday,11:51,NA
2023-12-23,Saturday,Weekend,NA
2024-01-04,Thursday,11:50,NA
2024-01-12,Friday,11:54,NA
2024-01-17,Wednesday,12:00,NA
2024-02-08,Thursday,11:48,NA
2024-02-09,Friday,11:54,12:31
2024-02-19,Monday,11:48,NA
2024-02-28,Wednesday,12:00,NA
2024-03-03,Sunday,Weekend,NA
2024-03-05,Tuesday,11:52,NA
2024-03-13,Wednesday,11:52,NA
2024-03-14,Thursday,11:49,NA
2024-03-15,Friday,11:54,NA
2024-03-18,Monday,11:46,14:09
2024-03-20,Wednesday,11:54,NA
2024-03-21,Thursday,11:50,NA
2024-03-23,Saturday,Weekend,NA
2024-03-27,Wednesday,11:49,NA
2024-03-31,Sunday,Weekend,NA
2024-04-02,Tuesday,11:49,NA
2024-04-03,Wednesday,11:54,NA
2024-04-05,Friday,11:51,NA
2024-04-08,Monday,11:53,NA
2024-04-09,Tuesday,GroupMeeting,NA
2024-04-10,Wednesday,11:52,NA
2024-04-11,Thursday,11:53,NA
2024-04-12,Friday,11:32,11:38
2024-04-15,Monday,11:32,NA
2024-04-16,Tuesday,11:34,11:40
2024-04-17,Wednesday,11:31,11:39
2024-04-18,Thursday,11:32,NA
2024-04-19,Friday,11:31,11:37
2024-04-22,Monday,11:35,NA
2024-04-23,Tuesday,GroupMeeting,NA
2024-04-24,Wednesday,11:33,NA
2024-04-25,Thursday,11:32,NA
2024-04-26,Friday,11:35,NA
2024-04-28,Sunday,Weekend,NA
